Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
637,"W Von Hippel, R Trivers",The evolution and psychology of self-deception,2011,Behavioral and Brain Sciences,cambridge.org,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0140525X10002669,"https://scholar.google.com/scholar?cites=5124584261329119297&as_sdt=2005&sciodt=0,5&hl=en",1,3/10/20 11:56,,,,,,,,,637,70.78,319,2,9,In this article we argue that self-deception evolved to facilitate interpersonal deception by allowing people to avoid the cues to conscious deception that might reveal deceptive intent. Self-deception has two additional advantages: It eliminates the costly cognitive load that is …
346,"JA Bargh, KL Schwader, SE Hailey, RL Dyer…",Automaticity in social-cognitive processes,2012,Trends in cognitive …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1364661312002380,"https://scholar.google.com/scholar?cites=642872843607927114&as_sdt=2005&sciodt=0,5&hl=en",2,3/10/20 11:56,,,,,,,,,346,43.25,69,5,8,"Over the past several years, the concept of automaticity of higher cognitive processes has permeated nearly all domains of psychological research. In this review, we highlight insights arising from studies in decision-making, moral judgments, close relationships, emotional …"
320,"BP Meier, S Schnall, N Schwarz…",Embodiment in social psychology,2012,Topics in cognitive …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1756-8765.2012.01212.x,"https://scholar.google.com/scholar?cites=5350279493540269133&as_sdt=2005&sciodt=0,5&hl=en",3,3/10/20 11:56,,,,,,,,,320,40,80,4,8,"Psychologists are increasingly interested in embodiment based on the assumption that thoughts, feelings, and behaviors are grounded in bodily interaction with the environment. We examine how embodiment is used in social psychology, and we explore the ways in …"
348,"CF Camerer, A Dreber, F Holzmeister, TH Ho…",Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,Nature Human …,nature.com,https://www.nature.com/articles/S41562-018-0399-Z,"https://scholar.google.com/scholar?cites=14458592275451163300&as_sdt=2005&sciodt=0,5&hl=en",4,3/10/20 11:56,HTML,,,,,,,,348,174,70,5,2,"Being able to replicate scientific findings is crucial for scientific progress 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15. We replicate 21 systematically selected experimental studies in the social sciences published in Nature and Science between 2010 and 2015 16, 17, 18, 19, 20 …"
268,"SWS Lee, N Schwarz",Dirty hands and dirty mouths: Embodiment of the moral-purity metaphor is specific to the motor modality involved in moral transgression,2010,Psychological science,journals.sagepub.com,https://journals.sagepub.com/doi/full/10.1177/0956797610382788,"https://scholar.google.com/scholar?cites=14913287501986103891&as_sdt=2005&sciodt=0,5&hl=en",5,3/10/20 11:56,HTML,,,,,,,,268,26.8,134,2,10,"Method Eighty-seven undergraduates (34 male, 53 female) participated in our experiment for course credit and were randomly assigned to conditions in a 2 (modality: mouth vs. hands)× 2 (ethicality: unethical vs. ethical) between-subjects design. Told that they were …"
237,"A Krishna, N Schwarz","Sensory marketing, embodiment, and grounded cognition: A review and introduction",2014,Journal of consumer psychology,Elsevier,https://www.sciencedirect.com/science/article/pii/S1057740813001162,"https://scholar.google.com/scholar?cites=695694240073329616&as_sdt=2005&sciodt=0,5&hl=en",6,3/10/20 11:56,,,,,,,,,237,39.5,119,2,6,"There has been a recent swell of interest in marketing as well as psychology pertaining to the role of sensory experiences in judgment and decision making. Within marketing, the field of sensory marketing has developed which explores the role of the senses in consumer …"
126,"J Gao, C Zhang, K Wang, S Ba","Understanding online purchase decision making: The effects of unconscious thought, information quality, and information quantity",2012,Decision Support Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167923612001224,"https://scholar.google.com/scholar?cites=4676504695530597110&as_sdt=2005&sciodt=0,5&hl=en",7,3/10/20 11:56,,,,,,,,,126,15.75,32,4,8,"The prosperity of online shopping has led e-commerce vendors to provide increasingly rich information, particularly for experience products, to enhance consumers' shopping experience and satisfaction. However, there is little awareness that consumers may not be …"
120,"JY Huang, A Sedlovskaya…",Immunizing against prejudice: Effects of disease protection on attitudes toward out-groups,2011,Psychological …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0956797611417261,"https://scholar.google.com/scholar?cites=9762023664098889418&as_sdt=2005&sciodt=0,5&hl=en",8,3/10/20 11:56,,,,,,,,,120,13.33,40,3,9,Contemporary interpersonal biases are partially derived from psychological mechanisms that evolved to protect people against the threat of contagious disease. This behavioral immune system effectively promotes disease avoidance but also results in an …
115,"SWS Lee, N Schwarz",Wiping the slate clean: Psychological consequences of physical cleansing,2011,Current Directions in Psychological …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0963721411422694,"https://scholar.google.com/scholar?cites=3273845179178183838&as_sdt=2005&sciodt=0,5&hl=en",9,3/10/20 11:56,,,,,,,,,115,12.78,58,2,9,Cleaning one's hands removes more than physical contaminants; it also removes residues of the past—from the guilt of past transgressions to doubts about past decisions. We review recent evidence for these and other clean-slate effects from the perspectives of neural reuse …
105,"RS Ritter, JL Preston",Gross gods and icky atheism: Disgust responses to rejected religious beliefs,2011,Journal of Experimental Social Psychology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022103111001454,"https://scholar.google.com/scholar?cites=11763214159924529651&as_sdt=2005&sciodt=0,5&hl=en",10,3/10/20 11:56,,,,,,,,,105,11.67,53,2,9,Disgust is an emotional response that helps to maintain and protect physical and spiritual purity by signaling contamination and motivating the restoration of personal cleanliness. In the present research we predicted that disgust may be elicited by contact with outgroup …
