"annotation_id","annotator","assert","certainty","created_at","id","lead_time","note","sentence","task_id","updated_at"
52,"1","1","0.75","2026-07-15T11:57:14.449532Z",185,73.04599999999999,"转述情绪表达在和解中的功能，中性报告研究发现","Empirical studies have documented the importance of organizational signals of inclusion for employees with marginalized identities (e.g., Apfelbaum et al., 2016; Hall et al., 2018; Kaiser et al., 2013; Purdie-Vaughns et al., 2008).","T0109","2026-07-16T07:26:52.119482Z"
53,"1","1","1","2026-07-15T11:57:53.210224Z",186,35.463,"转述加工阶段需考虑从属细节的研究结论，中性语气","First, their correlation with intelligence is generally either low or non-existent (Stanovich, 2009; Stanovich & West, 2008, 2014; Stanovich, West, & Toplak, 2013, 2016).","T0110","2026-07-16T07:27:11.105465Z"
54,"1","1","1","2026-07-15T11:58:15.169877Z",187,30.668,"	 ""may be due to""为谨慎暗示，转述量表缺乏不变性的可能原因","For example, positive emotions enhance productivity (Ifcher and Zarghamee, 2011), loss aversion (Isen, Nygren and Ashby, l988), and cognitive flexibility (Isen, 2008).","T0111","2026-07-16T07:27:29.372991Z"
55,"1","1","0","2026-07-15T11:58:39.133478Z",188,35.067,"""can increase abstract construal...a more critical, careful analysis""为中性报告阅读流畅性效应","Whites may attempt to avoid interracial interactions altogether (Plant & Devine, 2003) or increase the physical distance between themselves and their non-White partners (Goff et al., 2008; Stern & West, 2014).","T0112","2026-07-16T07:27:44.892083Z"
56,"1","1","1","2026-07-15T11:58:51.053557Z",189,27.859,"""have been supported in experimental, longitudinal and cross-sectional research""为中性报告SES理论的支持证据","When speakers name pictures in homogeneous and heterogeneous trial blocks (Task 1) and manually respond to arrows or tones (Task 2), phonological encoding for word production delays the manual responses to the arrows (Roelofs, 2008a; Experiments 1–3) but not to the tones (Experiment 4).","T0113","2026-07-16T07:28:02.717347Z"
57,"1","1","0.75","2026-07-15T11:59:09.355470Z",190,39.256,"""claims that rhythm is a type of information readily processed and retained in short-term memory""为中性报告研究主张","Findings from previous studies indicate that the degree of in-group bias is positively correlated with the salience of group identity (e.g. Mullen et al., 1992; Eckel and Grossman, 2005; Charness et al., 2007; Rand et al., 2009; Chen and Chen, 2011; Shayo and Zussman, 2011).","T0114","2026-07-16T07:28:28.935698Z"
58,"1","1","1","2026-07-15T11:59:27.769033Z",191,32.612,"""empirically demonstrated that individuals’ understanding of time is shaped by a metaphorical mapping""为肯定语气","Tversky and Kahneman (1973) established that decision-making under uncertainty is driven by the availability of recent examples rather than by systematic evaluation of historical outcomes.","T0115","2026-07-16T07:28:45.307688Z"
59,"1","1","0.5","2026-07-15T11:59:44.023169Z",192,45.594,"描述在线会议疲劳的现象，未转述先前研究的具体结论","Studies have found that negotiators concede to angry ex-pressers [11], [28], suggesting that anger encodes high limits.","T0116","2026-07-16T07:29:16.613236Z"
60,"1","1","0.75","2026-07-15T11:59:58.344199Z",193,28.924,"""done much to establish that the responses it measures vis-à-vis the primes are unintentional""为中性报告AMP的测量特性","Together, these results clearly demonstrate that it is not the case that PC effects are unobservable when those factors are controlled for (Schmidt, 2013b; Schmidt & Besner, 2008).","T0117","2026-07-16T07:29:34.092869Z"
61,"1","0","","2026-07-15T12:00:14.959235Z",194,71.287,"""the pooling of local features to obtain statistical information could be achieved, resulting in better performance""为中性报告统计信息加工特征","A third explanation is based on the temporal self-appraisal theory (TSA; Wilson and Ross, 2001; Ross and Wilson, 2002) that people evaluate their past self in a way that serves the self-enhancement motive.","T0118","2026-07-16T07:30:30.940523Z"
