"annotation_id","annotator","assert","certainty","created_at","id","lead_time","sentence","task_id","updated_at"
28,"1","0","","2026-07-15T09:01:38.561781Z",737,162.705,"These results suggest that our automated scoring procedure should not be used, or used with caution, on tasks that are not optimized for scoring with the interview (Levine et al., 2002) or the adapted interview (e.g., Addis et al., 2008).","T0001","2026-07-15T09:01:38.561781Z"
29,"1","0","","2026-07-15T09:02:33.710689Z",738,53.27,"Borrowing phases in Brun-Aguerre, Fuertes, and Phylaktis (2012), the positive output gap-ERPT asymmetry relation denotes that exporters may act to enhance market share in fast growing economies.","T0002","2026-07-15T09:02:33.710689Z"
30,"1","1","0.75","2026-07-15T09:02:58.039583Z",739,23.57,"In this context, the unadjusted score is biased (Pleskac, 2008; Dijkstra et al., 2022) and the inter-subject variability is reduced (Lejuez et al., 2002).","T0003","2026-07-15T09:02:58.039583Z"
31,"1","0","","2026-07-15T09:05:35.196793Z",740,156.382,"Husnu and Crisp (2010a) provided an initial test of the hypothesis that imagined contact can enhance intentions to engage in future contact.","T0004","2026-07-15T09:05:35.196793Z"
32,"1","1","0.75","2026-07-15T09:05:57.788750Z",741,21.74,"It is understood that in multiple contexts individuals often fail to adjust sufficiently away from an original figure (Jacowitz and Kahneman, 1995).","T0005","2026-07-15T09:05:57.788750Z"
33,"1","1","0.75","2026-07-15T09:06:19.196154Z",742,20.686,"For example, Fischer et al. (2008) show that individuals with depleted self-regulatory resources engage in more confirmatory information processing, or preferencing information supporting pre-existing views, than non-depleted individuals.","T0006","2026-07-15T09:06:19.196154Z"
34,"1","1","0.75","2026-07-15T09:06:41.354605Z",743,21.407,"Concerns about being seen as prejudiced contribute directly to the anxiety that Whites experience not only during interracial interaction (Goff et al., 2008; Richeson & Shelton, 2003) but also in anticipation of interracial contact (West & Dovidio, 2013).","T0007","2026-07-15T09:06:41.354605Z"
35,"1","1","0.75","2026-07-15T09:07:01.850932Z",744,19.721,"Statistical learning occurs also irrespective of the perceptual modality; indeed, it has been reported in the visual (Turk-browne et al., 2005, 2008), auditory (Saffran et al., 1999) and tactile domains (Conway and Christiansen, 2005).","T0008","2026-07-15T09:07:01.850932Z"
36,"1","1","1","2026-07-15T09:07:27.133867Z",745,24.597,"It is well known from Gibbard (1973) and Satterthwaite (1975) that there does not exist a strategy-proof voting mechanism (except for a dictatorial mechanism or a mechanism in which a particular candidate is never chosen under any circumstances).","T0009","2026-07-15T09:07:27.133867Z"
37,"1","0","","2026-07-15T09:07:44.488633Z",746,15.83,"Furthermore, and as noted in the introduction, the money priming effect observed in Experiment 1 in Caruso et al. (2013) T hi s do cu m en t is co py ri gh te d by th e A m er ic an Ps yc ho lo gi ca l A ss oc ia tio n or on e of its al lie d pu bl is he rs .","T0010","2026-07-15T09:07:44.488633Z"
38,"1","1","0.75","2026-07-15T09:08:17.072275Z",747,27.949,"However, in an important nonconfirmation, Farris et al. (2008) found that men were more likely than women not only to misperceive friendliness as sexual interest but also to misperceive sexual interest as friendliness.","T0011","2026-07-15T09:08:17.072275Z"
211,"1","1","0.75","2026-07-15T12:45:04.500957Z",748,23.439999999999998,"Establishing goodwill toward a transgressor is likely to involve empathic processing, which has been established as a significant predictor of forgiveness in general (Exline et al., 2008; Exline & Zell, 2009; Karremans, Van Lange, & Holland, 2005; McCullough et al., 1998; McCullough et al., 1997).","T0012","2026-07-15T12:45:04.500957Z"
210,"1","1","0.5","2026-07-15T12:44:46.940964Z",749,14.911,"For example, in our daily life, we may feel that polite words increase the sense of distance (Levinson and Brown 1987; Stephan et al. 2010), and visual and linguistic fluency decrease the psychological distance (Alter and Oppenheimer 2008; Roose et al. 2019).","T0013","2026-07-15T12:44:46.940964Z"
209,"1","1","0.5","2026-07-15T12:44:30.634132Z",750,19.586,"Sometimes, these superficial judgments can be quite accurate and predictive of important real-world outcomes [e.g., Rule and Ambady, 2008].","T0014","2026-07-15T12:44:30.634132Z"
208,"1","1","0.75","2026-07-15T12:44:09.986131Z",751,15.887,"4Goeree and Holt (2001) and Chen and Chen (2011) provide evidence that even when played in pairs subjects may be unable to reach efficient outcomes provided the costs of higher effort are large enough or the game is repeated with different partners.","T0015","2026-07-15T12:44:09.986131Z"
207,"1","1","0.5","2026-07-15T12:43:53.304843Z",752,12.901,"In a similar vein, Schmidt and Besner (2008) suggested that because PC is confounded with contingency, a stimulus-response contingency-learning process may account for the ISPC effect.","T0016","2026-07-15T12:43:53.304843Z"
206,"1","0","","2026-07-15T12:43:38.921824Z",753,11.987,"The Needs-Based Model of Reconciliation argues that conflict leaves groups’ identities impaired.","T0017","2026-07-15T12:43:38.922831Z"
205,"1","0","","2026-07-15T12:43:25.828206Z",754,17.921,"As noted above, natural sampling is often considered a remedy for biases introduced by selective sampling because it enables learners to “conserve the properties of the universe” (Fiedler, 2008), such that the distribution of the sample will mirror the distribution of the source in an unbiased fashion.","T0018","2026-07-15T12:43:25.828206Z"
204,"1","1","1","2026-07-15T12:43:07.012785Z",755,17.217,"After an initial act of self-control, a reduction in such brain potentials mediated the decline in performance on a subsequent task (Inzlicht & Gutsell, 2007).","T0019","2026-07-15T12:43:07.012785Z"
203,"1","1","0.5","2026-07-15T12:42:46.104185Z",756,15.702,"However, as the results presented by Dulleck et al. (2011) suggest, this theoretical possibility is irrelevant in an experiment.","T0020","2026-07-15T12:42:46.104185Z"
202,"1","0","","2026-07-15T12:42:29.734023Z",757,13.003,"This is comparable to Kessler and Roth (2012) where 36 percent register as a donor in the baseline treatment and 74 percent in the priority treatment.","T0021","2026-07-15T12:42:29.734023Z"
201,"1","1","1","2026-07-15T12:42:15.118105Z",758,15.416,"Nosek et al. (2002) showed that both explicit and implicit attitudes predict performance.","T0022","2026-07-15T12:42:15.118105Z"
200,"1","0","","2026-07-15T12:41:58.405851Z",759,12.205,"Recognition rates for the basic emotions were generally lower than have been previously found in the United States and higher than recognition rates found in Burkina Faso [24][22].","T0023","2026-07-15T12:41:58.405851Z"
199,"1","1","1","2026-07-15T12:41:45.301722Z",760,11.011,"Specifically, low Disinhibition via FFM Agreeableness and Conscientiousness as well as low Negative Emotionality or FFM Neuroticism is captured by Alpha/Stability whereas Positive Emotionality or FFM Extraversion is captured by Beta/Plasticity [17,4].","T0024","2026-07-15T12:41:45.301722Z"
198,"1","1","0.75","2026-07-15T12:41:27.450731Z",761,14.769,"Liefooghe and colleagues (Liefooghe et al., 2008) concluded that the effect of task-switching on concurrent maintenance of information in working memory did not necessarily rely on specific task reconfiguration processes but instead from a combination of simple and more fundamental attention demanding processes.","T0025","2026-07-15T12:41:27.450731Z"
197,"1","1","0.75","2026-07-15T12:41:11.766399Z",762,14.138,"Executives in the moral cleansing mode tend to direct their attention toward the interests and welfare of those who were harmed by their excessive pay (e.g., employees, shareholders, and society in general) (Carnevale & Gangloff, 2023; Shnabel & Nadler, 2008).","T0026","2026-07-15T12:41:11.766399Z"
