"annotation_id","annotator","assert","certainty","created_at","id","lead_time","note","sentence","task_id","updated_at"
42,"2","0","","2026-07-15T08:25:07.543284Z",105372,53.011,"","These results suggest that our automated scoring procedure should not be used, or used with caution, on tasks that are not optimized for scoring with the interview (Levine et al., 2002) or the adapted interview (e.g., Addis et al., 2008).","T0001","2026-07-15T08:25:07.543300Z"
43,"2","0","","2026-07-15T08:25:27.269688Z",105373,18.659,"","Borrowing phases in Brun-Aguerre, Fuertes, and Phylaktis (2012), the positive output gap-ERPT asymmetry relation denotes that exporters may act to enhance market share in fast growing economies.","T0002","2026-07-15T08:25:27.269700Z"
44,"2","1","1","2026-07-15T08:25:45.835885Z",105374,17.578,"","In this context, the unadjusted score is biased (Pleskac, 2008; Dijkstra et al., 2022) and the inter-subject variability is reduced (Lejuez et al., 2002).","T0003","2026-07-15T08:25:45.835897Z"
45,"2","0","","2026-07-15T08:26:07.876276Z",105375,20.867,"","Husnu and Crisp (2010a) provided an initial test of the hypothesis that imagined contact can enhance intentions to engage in future contact.","T0004","2026-07-15T08:26:07.876287Z"
46,"2","1","1","2026-07-15T08:26:38.856420Z",105376,29.995,"","It is understood that in multiple contexts individuals often fail to adjust sufficiently away from an original figure (Jacowitz and Kahneman, 1995).","T0005","2026-07-15T08:26:38.856435Z"
47,"2","1","0.75","2026-07-15T08:26:55.067161Z",105377,15.17,"","For example, Fischer et al. (2008) show that individuals with depleted self-regulatory resources engage in more confirmatory information processing, or preferencing information supporting pre-existing views, than non-depleted individuals.","T0006","2026-07-15T08:26:55.067172Z"
48,"2","1","1","2026-07-15T08:27:14.350309Z",105378,17.759,"","Concerns about being seen as prejudiced contribute directly to the anxiety that Whites experience not only during interracial interaction (Goff et al., 2008; Richeson & Shelton, 2003) but also in anticipation of interracial contact (West & Dovidio, 2013).","T0007","2026-07-15T08:27:14.350320Z"
49,"2","1","0.5","2026-07-15T08:28:00.778415Z",105379,25.433,"","Statistical learning occurs also irrespective of the perceptual modality; indeed, it has been reported in the visual (Turk-browne et al., 2005, 2008), auditory (Saffran et al., 1999) and tactile domains (Conway and Christiansen, 2005).","T0008","2026-07-15T08:28:00.778426Z"
50,"2","1","1","2026-07-15T08:29:23.218657Z",105380,81.191,"","It is well known from Gibbard (1973) and Satterthwaite (1975) that there does not exist a strategy-proof voting mechanism (except for a dictatorial mechanism or a mechanism in which a particular candidate is never chosen under any circumstances).","T0009","2026-07-15T08:29:23.218669Z"
51,"2","0","","2026-07-15T08:30:15.290139Z",105381,48.571,"残句","Furthermore, and as noted in the introduction, the money priming effect observed in Experiment 1 in Caruso et al. (2013) T hi s do cu m en t is co py ri gh te d by th e A m er ic an Ps yc ho lo gi ca l A ss oc ia tio n or on e of its al lie d pu bl is he rs .","T0010","2026-07-15T08:30:15.290149Z"
52,"2","1","0.5","2026-07-15T08:30:46.736547Z",105382,30.408,"","However, in an important nonconfirmation, Farris et al. (2008) found that men were more likely than women not only to misperceive friendliness as sexual interest but also to misperceive sexual interest as friendliness.","T0011","2026-07-15T08:30:46.736559Z"
53,"2","1","1","2026-07-15T08:31:33.688377Z",105383,45.305,"","Establishing goodwill toward a transgressor is likely to involve empathic processing, which has been established as a significant predictor of forgiveness in general (Exline et al., 2008; Exline & Zell, 2009; Karremans, Van Lange, & Holland, 2005; McCullough et al., 1998; McCullough et al., 1997).","T0012","2026-07-15T08:31:33.688387Z"
