Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
684,LF Barrett,How emotions are made: The secret life of the brain,2017,,books.google.com,https://books.google.com/books?hl=en&lr=&id=hN8MBgAAQBAJ&oi=fnd&pg=PP1&ots=fbbNrVvD-e&sig=BA0poHULmIDHpTXY9h8_izp6-wM,"https://scholar.google.com/scholar?cites=12217471422611932106&as_sdt=2005&sciodt=0,5&hl=en",1,3/9/20 17:32,BOOK,,,,,,,,684,228,684,1,3,"“Fascinating... A thought-provoking journey into emotion science.”—Wall Street Journal “A singular book, remarkable for the freshness of its ideas and the boldness and clarity with which they are presented.”—Scientific American “A brilliant and original book on the science …"
449,"A Todorov, CY Olivola, R Dotsch…","Social attributions from faces: Determinants, consequences, accuracy, and functional significance",2015,Annual review of …,annualreviews.org,https://www.annualreviews.org/doi/abs/10.1146/annurev-psych-113011-143831,"https://scholar.google.com/scholar?cites=16396470197133361386&as_sdt=2005&sciodt=0,5&hl=en",2,3/9/20 17:32,,,,,,,,,449,89.8,112,4,5,"Since the early twentieth century, psychologists have known that there is consensus in attributing social and personality characteristics from facial appearance. Recent studies have shown that surprisingly little time and effort are needed to arrive at this consensus …"
351,"S Van de Cruys, K Evers, R Van der Hallen…",Precise minds in uncertain worlds: Predictive coding in autism.,2014,Psychological …,psycnet.apa.org,https://psycnet.apa.org/record/2014-44506-004,"https://scholar.google.com/scholar?cites=7712175386202008931&as_sdt=2005&sciodt=0,5&hl=en",3,3/9/20 17:32,,,,,,,,,351,58.5,88,4,6,"There have been numerous attempts to explain the enigma of autism, but existing neurocognitive theories often provide merely a refined description of 1 cluster of symptoms. Here we argue that deficits in executive functioning, theory of mind, and central coherence …"
352,RM Sapolsky,Behave: The biology of humans at our best and worst,2017,,books.google.com,https://books.google.com/books?hl=en&lr=&id=sJKoDAAAQBAJ&oi=fnd&pg=PT11&ots=uRl14gXzVn&sig=XObq739uAQEA3n8fsfOF25YNv9Q,"https://scholar.google.com/scholar?cites=8548028099393978617&as_sdt=2005&sciodt=0,5&hl=en",4,3/9/20 17:32,BOOK,,,,,,,,352,117.33,352,1,3,"Why do we do the things we do? Over a decade in the making, this game-changing book is Robert Sapolsky's genre-shattering attempt to answer that question as fully as perhaps only he could, looking at it from every angle. Sapolsky's storytelling concept is delightful but it …"
316,ME Young,Learning the art of helping,2009,,pearsonhighered.com,https://www.pearsonhighered.com/assets/preface/0/1/3/5/0135680395.pdf,"https://scholar.google.com/scholar?cites=5770985457936627607&as_sdt=2005&sciodt=0,5&hl=en",5,3/9/20 17:32,BOOK,,,,,,,,316,28.73,316,1,11,"Names: Young, Mark E, author. Title: Learning the art of helping: building blocks and techniques/Mark E Young, Professor Emeritus, University of Central Florida. Description: Seventh edition.| Hoboken: Pearson,[2021]| Includes index. Identifiers: LCCN 2019040683 …"
348,"CF Camerer, A Dreber, F Holzmeister, TH Ho…",Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,Nature Human …,nature.com,https://www.nature.com/articles/S41562-018-0399-Z,"https://scholar.google.com/scholar?cites=14458592275451163300&as_sdt=2005&sciodt=0,5&hl=en",6,3/9/20 17:32,HTML,,,,,,,,348,174,70,5,2,"Being able to replicate scientific findings is crucial for scientific progress 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15. We replicate 21 systematically selected experimental studies in the social sciences published in Nature and Science between 2010 and 2015 16, 17, 18, 19, 20 …"
147,"M Karg, AA Samadani, R Gorbet…",Body movements for affective expression: A survey of automatic recognition and generation,2013,IEEE Transactions …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6662348/,"https://scholar.google.com/scholar?cites=13399096733235929870&as_sdt=2005&sciodt=0,5&hl=en",7,3/9/20 17:32,,,,,,,,,147,21,37,4,7,"Body movements communicate affective expressions and, in recent years, computational models have been developed to recognize affective expressions from body movements or to generate movements for virtual agents or robots which convey affective expressions. This …"
143,JM Epstein,Agent_Zero: Toward neurocognitive foundations for generative social science,2014,,books.google.com,https://books.google.com/books?hl=en&lr=&id=XmmYDwAAQBAJ&oi=fnd&pg=PP19&ots=hKH7l_unoX&sig=jtBouAUt0YH7yz1rGjb8YC1FCgY,"https://scholar.google.com/scholar?cites=13329734949930262674&as_sdt=2005&sciodt=0,5&hl=en",8,3/9/20 17:32,BOOK,,,,,,,,143,23.83,143,1,6,"The Final Volume of the Groundbreaking Trilogy on Agent-Based Modeling In this pioneering synthesis, Joshua Epstein introduces a new theoretical entity: Agent_Zero. This software individual, or"" agent,"" is endowed with distinct emotional/affective …"
141,"LF Barrett, M Lewis, JM Haviland-Jones",Handbook of emotions,2016,,books.google.com,https://books.google.com/books?hl=en&lr=&id=cbKhDAAAQBAJ&oi=fnd&pg=PP1&ots=5DTryx2oog&sig=JxhWhCyeFrLvgyIO2CyLu4QfNwg,"https://scholar.google.com/scholar?cites=3357270990418368746&as_sdt=2005&sciodt=0,5&hl=en",9,3/9/20 17:32,BOOK,,,,,,,,141,35.25,47,3,4,"Recognized as the definitive reference, this handbook brings together leading experts from multiple psychological subdisciplines to examine one of today's most dynamic areas of research. Coverage encompasses the biological and neuroscientific underpinnings of …"
106,"F Kumfor, M Irish, JR Hodges, O Piguet",Discrete neural correlates for the recognition of negative emotions: insights from frontotemporal dementia,2013,PloS one,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3689735/,"https://scholar.google.com/scholar?cites=10232553739096736925&as_sdt=2005&sciodt=0,5&hl=en",10,3/9/20 17:32,HTML,,,,,,,,106,15.14,27,4,7,"Patients with frontotemporal dementia have pervasive changes in emotion recognition and social cognition, yet the neural changes underlying these emotion processing deficits remain unclear. The multimodal system model of emotion proposes that basic emotions are …"
