id,claim,year
B001,v3_metaphoric_structuring_understanding_tim,2024
B002,v3_toward_a_physiology_of_dual_process_reas,2017
B003,v3_moral_credentials_and_the_expression_of_,2022
B004,v3_last_place_aversion_evidence_and_redistr,2025
B005,v3_metaphoric_structuring_understanding_tim,2020
B006,v3_availability_a_heuristic_for_judging_fre,2026
B007,v3_effects_of_need_for_cognition_on_message,2023
B008,v3_when_does_between_sequence_phonological_,2023
B009,v3_weight_as_an_embodiment_of_importance,2023
B010,v3_weight_as_an_embodiment_of_importance,2018
B011,v3_cloningertextquotesingles_psychobiologic,2018
B012,v3_expectations_as_endowments_evidence_on_r,2018
B013,v3_effects_of_need_for_cognition_on_message,2018
B014,v3_moral_credentials_and_the_expression_of_,2020
B015,v3_a_single_exposure_to_the_american_flag_s,2024
B016,v3_when_does_between_sequence_phonological_,2017
B017,v3_effects_of_fluency_on_psychological_dist,2021
B018,v3_preschoolers_perspective_taking_in_word_,2015
B019,v3_moral_credentials_and_the_expression_of_,2023
B020,v3_availability_a_heuristic_for_judging_fre,2026
B021,v3_last_place_aversion_evidence_and_redistr,2021
B022,v3_toward_a_physiology_of_dual_process_reas,2015
B023,v3_effects_of_fluency_on_psychological_dist,2025
B024,v3_mere_exposure_to_money_increases_endorse,2018
B025,v3_a_word_order_constraint_on_phonological_,2016
B026,v3_effects_of_fluency_on_psychological_dist,2022
B027,v3_tracing_attention_and_the_activation_flo,2019
B028,v3_expectations_as_endowments_evidence_on_r,2017
B029,v3_metaphoric_structuring_understanding_tim,2025
B030,v3_effects_of_need_for_cognition_on_message,2022
B031,v3_last_place_aversion_evidence_and_redistr,2019
B032,v3_effects_of_fluency_on_psychological_dist,2015
B033,v3_toward_a_physiology_of_dual_process_reas,2018
B034,v3_cloningertextquotesingles_psychobiologic,2015
B035,v3_cloningertextquotesingles_psychobiologic,2017
B036,v3_elaboration_enhances_the_imagined_contac,2017
B037,v3_moral_credentials_and_the_expression_of_,2020
B038,v3_experiments_in_wording_questions_ii,2017
B039,v3_last_place_aversion_evidence_and_redistr,2020
B040,v3_perceptual_mechanisms_that_characterize_,2015
B041,v3_the_potential_of_social_identity_for_equ,2023
B042,v3_elaboration_enhances_the_imagined_contac,2017
B043,v3_weight_as_an_embodiment_of_importance,2019
B044,v3_metaphoric_structuring_understanding_tim,2019
B045,v3_metaphoric_structuring_understanding_tim,2024
B046,v3_moral_credentials_and_the_expression_of_,2022
B047,v3_moral_credentials_and_the_expression_of_,2022
B048,v3_metaphoric_structuring_understanding_tim,2022
B049,v3_last_place_aversion_evidence_and_redistr,2025
B050,v3_a_word_order_constraint_on_phonological_,2016
B051,v3_experiments_in_wording_questions_ii,2017
B052,v3_moral_credentials_and_the_expression_of_,2021
B053,v3_the_threat_of_appearing_prejudiced_and_r,2016
B054,v3_last_place_aversion_evidence_and_redistr,2017
B055,v3_happiness_and_time_preference_the_effect,2024
B056,v3_last_place_aversion_evidence_and_redistr,2022
B057,v3_last_place_aversion_evidence_and_redistr,2023
B058,v3_last_place_aversion_evidence_and_redistr,2021
B059,v3_last_place_aversion_evidence_and_redistr,2019
B060,v3_it_feels_like_yesterday_self_esteem_vale,2016
B061,v3_happiness_and_time_preference_the_effect,2019
B062,v3_last_place_aversion_evidence_and_redistr,2019
B063,v3_where_do_we_look_during_potentially_offe,2021
B064,v3_effects_of_fluency_on_psychological_dist,2022
B065,v3_moral_credentials_and_the_expression_of_,2021
B066,v3_a_single_exposure_to_the_american_flag_s,2025
B067,v3_it_feels_like_yesterday_self_esteem_vale,2021
B068,v3_elaboration_enhances_the_imagined_contac,2023
B069,v3_elaboration_enhances_the_imagined_contac,2024
