"annotation_id","annotator","assert","certainty","created_at","id","lead_time","sentence","task_id","updated_at"
142,"1","0","","2026-07-15T07:12:45.819903Z",10141,1009.814,"These results suggest that our automated scoring procedure should not be used, or used with caution, on tasks that are not optimized for scoring with the interview (Levine et al., 2002) or the adapted interview (e.g., Addis et al., 2008).","T0001","2026-07-15T07:12:45.819943Z"
143,"1","1","0.25","2026-07-15T07:13:51.714468Z",10142,63.325,"Borrowing phases in Brun-Aguerre, Fuertes, and Phylaktis (2012), the positive output gap-ERPT asymmetry relation denotes that exporters may act to enhance market share in fast growing economies.","T0002","2026-07-15T07:13:51.714530Z"
144,"1","1","1","2026-07-15T07:14:43.414035Z",10143,72.67099999999999,"In this context, the unadjusted score is biased (Pleskac, 2008; Dijkstra et al., 2022) and the inter-subject variability is reduced (Lejuez et al., 2002).","T0003","2026-07-15T08:43:25.800273Z"
145,"1","0","","2026-07-15T07:15:22.348130Z",10144,35.822,"Husnu and Crisp (2010a) provided an initial test of the hypothesis that imagined contact can enhance intentions to engage in future contact.","T0004","2026-07-15T07:15:22.348183Z"
146,"1","1","1","2026-07-15T07:16:00.516112Z",10145,42.173,"It is understood that in multiple contexts individuals often fail to adjust sufficiently away from an original figure (Jacowitz and Kahneman, 1995).","T0005","2026-07-15T08:43:38.626977Z"
147,"1","1","0.75","2026-07-15T07:16:51.196735Z",10146,53.709,"For example, Fischer et al. (2008) show that individuals with depleted self-regulatory resources engage in more confirmatory information processing, or preferencing information supporting pre-existing views, than non-depleted individuals.","T0006","2026-07-15T08:43:46.893135Z"
148,"1","1","1","2026-07-15T07:18:46.664683Z",10147,121.83500000000001,"Concerns about being seen as prejudiced contribute directly to the anxiety that Whites experience not only during interracial interaction (Goff et al., 2008; Richeson & Shelton, 2003) but also in anticipation of interracial contact (West & Dovidio, 2013).","T0007","2026-07-15T08:45:00.718433Z"
149,"1","1","1","2026-07-15T07:19:37.452916Z",10148,54.157000000000004,"Statistical learning occurs also irrespective of the perceptual modality; indeed, it has been reported in the visual (Turk-browne et al., 2005, 2008), auditory (Saffran et al., 1999) and tactile domains (Conway and Christiansen, 2005).","T0008","2026-07-15T08:44:08.270166Z"
150,"1","1","1","2026-07-15T07:20:42.476111Z",10149,69.039,"It is well known from Gibbard (1973) and Satterthwaite (1975) that there does not exist a strategy-proof voting mechanism (except for a dictatorial mechanism or a mechanism in which a particular candidate is never chosen under any circumstances).","T0009","2026-07-15T08:45:14.884427Z"
151,"1","0","","2026-07-15T07:23:12.454835Z",10150,146.379,"Furthermore, and as noted in the introduction, the money priming effect observed in Experiment 1 in Caruso et al. (2013) T hi s do cu m en t is co py ri gh te d by th e A m er ic an Ps yc ho lo gi ca l A ss oc ia tio n or on e of its al lie d pu bl is he rs .","T0010","2026-07-15T07:23:12.454893Z"
152,"1","1","1","2026-07-15T07:26:06.372536Z",10151,531.546,"However, in an important nonconfirmation, Farris et al. (2008) found that men were more likely than women not only to misperceive friendliness as sexual interest but also to misperceive sexual interest as friendliness.","T0011","2026-07-15T07:32:31.112372Z"
153,"1","1","0.5","2026-07-15T07:37:07.398397Z",10152,276.674,"Establishing goodwill toward a transgressor is likely to involve empathic processing, which has been established as a significant predictor of forgiveness in general (Exline et al., 2008; Exline & Zell, 2009; Karremans, Van Lange, & Holland, 2005; McCullough et al., 1998; McCullough et al., 1997).","T0012","2026-07-15T08:45:31.172395Z"
