"annotation_id","annotator","assert","certainty","created_at","id","lead_time","sentence","task_id","updated_at"
1,"1","1","0.5","2026-07-15T05:05:51.066027Z",369,205.689,"These results suggest that our automated scoring procedure should not be used, or used with caution, on tasks that are not optimized for scoring with the interview (Levine et al., 2002) or the adapted interview (e.g., Addis et al., 2008).","T0001","2026-07-15T05:05:51.066027Z"
2,"1","1","0.5","2026-07-15T05:06:21.864957Z",370,28.022,"Borrowing phases in Brun-Aguerre, Fuertes, and Phylaktis (2012), the positive output gap-ERPT asymmetry relation denotes that exporters may act to enhance market share in fast growing economies.","T0002","2026-07-15T05:06:21.864957Z"
3,"1","1","1","2026-07-15T05:08:48.070736Z",371,264.555,"In this context, the unadjusted score is biased (Pleskac, 2008; Dijkstra et al., 2022) and the inter-subject variability is reduced (Lejuez et al., 2002).","T0003","2026-07-15T05:12:05.609012Z"
4,"1","0","","2026-07-15T05:12:43.622345Z",372,63.690999999999995,"Husnu and Crisp (2010a) provided an initial test of the hypothesis that imagined contact can enhance intentions to engage in future contact.","T0004","2026-07-15T05:19:43.304623Z"
5,"1","1","0.75","2026-07-15T05:13:36.114314Z",373,51.403,"It is understood that in multiple contexts individuals often fail to adjust sufficiently away from an original figure (Jacowitz and Kahneman, 1995).","T0005","2026-07-15T05:13:36.114314Z"
6,"1","1","1","2026-07-15T05:13:58.337642Z",374,20.914,"For example, Fischer et al. (2008) show that individuals with depleted self-regulatory resources engage in more confirmatory information processing, or preferencing information supporting pre-existing views, than non-depleted individuals.","T0006","2026-07-15T05:13:58.338642Z"
7,"1","1","0.5","2026-07-15T05:14:23.361524Z",375,47.484,"Concerns about being seen as prejudiced contribute directly to the anxiety that Whites experience not only during interracial interaction (Goff et al., 2008; Richeson & Shelton, 2003) but also in anticipation of interracial contact (West & Dovidio, 2013).","T0007","2026-07-15T05:17:18.210857Z"
8,"1","1","0.75","2026-07-15T05:17:39.912023Z",376,43.947,"Statistical learning occurs also irrespective of the perceptual modality; indeed, it has been reported in the visual (Turk-browne et al., 2005, 2008), auditory (Saffran et al., 1999) and tactile domains (Conway and Christiansen, 2005).","T0008","2026-07-15T05:17:39.912023Z"
9,"1","1","1","2026-07-15T05:18:09.640899Z",377,28.546,"It is well known from Gibbard (1973) and Satterthwaite (1975) that there does not exist a strategy-proof voting mechanism (except for a dictatorial mechanism or a mechanism in which a particular candidate is never chosen under any circumstances).","T0009","2026-07-15T05:18:09.640899Z"
10,"1","0","","2026-07-15T05:18:32.993007Z",378,19.842,"Furthermore, and as noted in the introduction, the money priming effect observed in Experiment 1 in Caruso et al. (2013) T hi s do cu m en t is co py ri gh te d by th e A m er ic an Ps yc ho lo gi ca l A ss oc ia tio n or on e of its al lie d pu bl is he rs .","T0010","2026-07-15T05:18:32.993007Z"
