id,sentence,是否提及复现失败或争议(1/0)
B001,"Additionally, the weaker embodied view proposes that metaphors are embodied and repeated metaphoric use can shape cognitive processing (Boroditsky, 2000; Lakoff & Johnson, 1999; Thibodeau et al., 2019).",
B002,"…levels after the initial self-control task (e.g., ingesting a carbohydrate-based drink) eliminates the depletion effect (Denson, von Hippel, Kemp, & Teo, 2010; Gailliot, Baumeister, et al., 2007; Gailliot, Plant, Butz, & Baumeister, 2007; Masicampo & Baumeister, 2008; McMahon & Scheel, 2010).",
B003,"Indeed, people depend on a speaker’s identity as a member of the in-group or an out-group to assess the meaning and intent of a message, with the result that the same statement is interpreted very differently on the basis of who issues it (Ditto and Mastronarde 2009; Monin and Miller 2001).",
B004,"We did not ﬁnd support for last-place aversion (LPA, Kuziemko et al., 2014), the reluctance to allocate downward when ranked second from the bottom.",
B005,"…在理解上 下隐喻时, 更倾向于建构上下维度的时间表征。 2.3 小结 可以看出, 不同空间维度心理时间线的起源 似乎存在较大差异。左右维度心理时间线主要受 阅读/书写习惯的影响, 与之相关联的感觉运动经 验应是该维度时间线的基本起源。而对于前后维 度时间线的起源, 则存在一定争议。一方面, 向前 行走和奔跑的感觉运动经验可能是前后维度时间 线的起源; 另一方面, 语言中的空间隐喻是形成 前后维度心理时间线的主要原因。但最新的研究 结果更支持后一种观点。最后, 可能正是由于汉 Ad va nc es in…",
B006,"These experiences are likely to be more accessible in memory 34 and thus more strongly linked to current group-based anger or perceptions of injustice, which are key emotional precursors to collective action 25 .",
B007,"Individuals characterized by a low need for cognition (i.e., those who do not particularly enjoy the process of effortful thinking; Cacioppo et al., 1983), should be more prone to heuristic processing, wherein they rely on heuristic shortcuts to form quick impressions.",
B008,"…and spatial information is functionally equivalent, with changing-state information being similarly represented in an amodal workspace wherein interference occurs when functionally similar processes come into con ﬂ ict (Hughes, 2014; Jones & Macken, 1993; Marsh et al., 2008; Marsh et al., 2008).",
B009,"To use an example by contrasting the “old” and “new” evidence-based embodied cognition resorting to interoceptive signaling: Jostmann et al. (2009) revealed that participants with varying weights are affected differently by the weight of a clipboard when estimating a foreign currency exchange rate,…",
B010,"…who held heavier (vs. lighter) objects subsequently gave higher ratings of job candidates (Ackerman, Nocera, & Bargh, 2010), monetary value (Jostmann et al., 2009), and the seriousness of diseases (Kaspar, 2013)—as if the experience of physical heaviness primed, implicitly, the more…",
B011,"Unikanie szkody koreluje pozytywnie z neurotyzmem, cechą osobowości wyrażającą się skłonnością do popadania w stany lękowe, odczuwania negatywnych stanów afektywnych oraz niską odpornością na stres [52].",
B012,"With regards to expectations, the behavior we observe is in line with one strand of literature (e.g Banerji and Gupta, 2014; Marzilli Ericson and Fuster, 2011) that supports the model of Kőszegi and Rabin (2006) but goes against another strand of the literature that is in favor of alternative theories of distributional dependence (e.g Isoni, 2011; Mazar et al., 2013; Smith, 2012; Wenner, 2015).",
B013,"Attitude change must be explored as part of consumer response on the messages because persuasive messages, through rational and emotional appeals, can lead to enduring and temporary attitude change, respectively (Cacioppo et al. 1983; Petty & Cacioppo, 1986).",
B014,"Returning to moral credentialling, the theory under investigation predicts that credentialling opportunities would increase subsequent attitudes that are consistent with prejudice; however, other theories suggest that credentialling opportunities might sometimes decrease such attitudes by prompting self-consistency or by priming personal values that discourage prejudice (Monin and Miller, 2001).",
B015,"Implicit nationalism could, for example, be correlated with left-wing attitudes in countries where the nation-state is associated with leftist movements (e.g., social democracy) and vice versa (cf. Carter et al. 2011).",
B016,"In this situation, the targets and distracters are easy to distinguish temporally and contextually, and target encoding does not necessitate concurrent distracter inhibition (Marsh et al., 2008).",
B017,"Indeed, previous research suggests that manipulating psychological distance metacognitively could accomplish this (Alter & Oppenheimer, 2008).",
B018,"Nurmsoo and Bloom (2008) found that while four-year-olds were able to identify the speaker’s referent object differentially, two-and-a-half-year-olds found this task challenging.",
B019,"In essence, “[c]redentials can turn ambiguity to one’s advantage by discrediting the least flattering of the plausible motivations and, thus, bringing the most legitimate ones to the fore” (Monin and Miller, 2001: 42).",
B020,"To explain this mechanism, we draw on cognitive bias theory (Nickerson,1998; Tversky & Kahneman,1973), which states that individuals’ judgments systematically deviate from rational norms during information processing, often relying on heuristics that may lead to biased decisions.",
B021,"15 This may also reflect a lack of last-place aversion, wherein those from the non-SC/ST group do not feel threatened by being surrounded by the disadvantaged SC/ST group (Kuziemko et al. 2014).",
B022,"Self-regulatory resources are also closely related to glucose (Gailliot and Baumeister, 2007; Gailliot et al., 2007; Masicampo and Baumeister, 2008).",
B023,"Consumers’ judgements on psychological distance to a stimulus are also the outcome of fluency effect (Alter & Oppenheimer, 2008).",
B024,"Together, these studies showed that by priming the money cues, the person would interact with others through calculating the ratio between what one’s costs and what one is likely to benefit (i.e., market mode) (Caruso et al., 2013; Mead and Stuppy, 2014; Savani et al., 2016).",
B025,"Indeed, Janssen, Alario, and Caramazza (2008) reported that English native speakers were faster when producing object names that were phonologically related to the name of the associated color (e.g., a blue BALL), whereas this is not the case in French native speakers.",
B026,"In this study, fluency exerted a direct positive effect on listeners’ sense of connection with the speaker, arguably because listeners interpreted their increased fluency as indicative of increased psychological closeness (Alter & Oppenheimer, 2008).",
B027,"Activation spreads continuously from level to level (Roelofs, 2008), whereby each node sends a proportion of its activation to connected nodes.",
B028,"Experimental studies have demonstrated the effect of reference point formation on effort provision ((Abeler et al., 2011)), the pricing of securities ((Kahneman et al., 1991)) and consumer products ((Ericson and Fuster, 2011)).",
B029,"The respective PJM signs effect this by means of metaphors mapping temporal to spatial relations (e.g. Boroditsky 2000, 2011).",
B030,"Motivation can be influenced by a number of factors including perceived relevance of the message, and whether the individual enjoys engaging in effortful thinking (i.e., need for cognition; Cacioppo et al., 1983).",
B031,"…inequality in many countries around the world, there is often relatively limited support among poorer people for policies where they are set to benefit, such as increases in cash transfers targeted to the poor or in the minimum wage (Kuziemko et al. 2014, Roemer 1998, Holland 2018, Frank 2004).",
