task_id,src_id,item_type,gold_assert,gold_cert,model_s,arm,year,sentence
T0001,C0763,ordinary,,,0.3,robust,2022,"These results suggest that our automated scoring procedure should not be used, or used with caution, on tasks that are not optimized for scoring with the interview (Levine et al., 2002) or the adapted interview (e.g., Addis et al., 2008)."
T0002,C1965,ordinary,,,0.3,refuted,2019,"Borrowing phases in Brun-Aguerre, Fuertes, and Phylaktis (2012), the positive output gap-ERPT asymmetry relation denotes that exporters may act to enhance market share in fast growing economies."
T0003,C1653,ordinary,,,0.5,refuted,2023,"In this context, the unadjusted score is biased (Pleskac, 2008; Dijkstra et al., 2022) and the inter-subject variability is reduced (Lejuez et al., 2002)."
T0004,C1735,ordinary,,,0.5,refuted,2012,Husnu and Crisp (2010a) provided an initial test of the hypothesis that imagined contact can enhance intentions to engage in future contact.
T0005,C4683,ordinary,,,0.5,robust,2019,"It is understood that in multiple contexts individuals often fail to adjust sufficiently away from an original figure (Jacowitz and Kahneman, 1995)."
T0006,C3034,duplicate,,,0.8,refuted,2020,"For example, Fischer et al. (2008) show that individuals with depleted self-regulatory resources engage in more confirmatory information processing, or preferencing information supporting pre-existing views, than non-depleted individuals."
T0007,C4375,ordinary,,,0.8,refuted,2014,"Concerns about being seen as prejudiced contribute directly to the anxiety that Whites experience not only during interracial interaction (Goff et al., 2008; Richeson & Shelton, 2003) but also in anticipation of interracial contact (West & Dovidio, 2013)."
T0008,C3502,ordinary,,,0.8,robust,2016,"Statistical learning occurs also irrespective of the perceptual modality; indeed, it has been reported in the visual (Turk-browne et al., 2005, 2008), auditory (Saffran et al., 1999) and tactile domains (Conway and Christiansen, 2005)."
T0009,C0681,gold_definitive,1,1.0,1.0,robust,2013,It is well known from Gibbard (1973) and Satterthwaite (1975) that there does not exist a strategy-proof voting mechanism (except for a dictatorial mechanism or a mechanism in which a particular candidate is never chosen under any circumstances).
T0010,C1689,ordinary,,,0.5,refuted,2015,"Furthermore, and as noted in the introduction, the money priming effect observed in Experiment 1 in Caruso et al. (2013) T hi s do cu m en t is co py ri gh te d by th e A m er ic an Ps yc ho lo gi ca l A ss oc ia tio n or on e of its al lie d pu bl is he rs ."
T0011,C2165,ordinary,,,0.5,refuted,2013,"However, in an important nonconfirmation, Farris et al. (2008) found that men were more likely than women not only to misperceive friendliness as sexual interest but also to misperceive sexual interest as friendliness."
T0012,C0303,ordinary,,,0.5,refuted,2011,"Establishing goodwill toward a transgressor is likely to involve empathic processing, which has been established as a significant predictor of forgiveness in general (Exline et al., 2008; Exline & Zell, 2009; Karremans, Van Lange, & Holland, 2005; McCullough et al., 1998; McCullough et al., 1997)."
T0013,C2180,ordinary,,,0.5,refuted,2020,"For example, in our daily life, we may feel that polite words increase the sense of distance (Levinson and Brown 1987; Stephan et al. 2010), and visual and linguistic fluency decrease the psychological distance (Alter and Oppenheimer 2008; Roose et al. 2019)."
T0014,C1052,ordinary,,,0.5,refuted,2009,"Sometimes, these superficial judgments can be quite accurate and predictive of important real-world outcomes [e.g., Rule and Ambady, 2008]."
T0015,C3686,ordinary,,,0.4,refuted,2011,4Goeree and Holt (2001) and Chen and Chen (2011) provide evidence that even when played in pairs subjects may be unable to reach efficient outcomes provided the costs of higher effort are large enough or the game is repeated with different partners.
T0016,C4711,ordinary,,,0.4,robust,2012,"In a similar vein, Schmidt and Besner (2008) suggested that because PC is confounded with contingency, a stimulus-response contingency-learning process may account for the ISPC effect."
T0017,C4158,ordinary,,,0.5,refuted,2019,The Needs-Based Model of Reconciliation argues that conflict leaves groups’ identities impaired.
T0018,C5265,ordinary,,,0.5,robust,2016,"As noted above, natural sampling is often considered a remedy for biases introduced by selective sampling because it enables learners to “conserve the properties of the universe” (Fiedler, 2008), such that the distribution of the sample will mirror the distribution of the source in an unbiased fashion."
T0019,C5502,ordinary,,,0.8,robust,2014,"After an initial act of self-control, a reduction in such brain potentials mediated the decline in performance on a subsequent task (Inzlicht & Gutsell, 2007)."
