id,claim,arm,year,model_assert,model_s
A001,v3_the_potential_of_social_identity_for_equ,refuted,2015,1,0.5
A002,v3_elaboration_enhances_the_imagined_contac,refuted,2019,1,0.5
A003,v3_moral_credentials_and_the_expression_of_,refuted,2020,1,0.5
A004,v3_auditory_change_detection_simple_sounds_,robust,2012,1,0.5
A005,v3_hedonic_and_instrumental_motives_in_ange,robust,2025,0,
A006,v3_expectations_as_endowments_evidence_on_r,refuted,2013,0,
A007,v3_expectations_as_endowments_evidence_on_r,refuted,2013,1,0.5
A008,v3_experiments_in_wording_questions_ii,refuted,2012,0,
A009,v3_organ_allocation_policy_and_the_decision,robust,2016,1,0.5
A010,v3_weight_as_an_embodiment_of_importance,refuted,2015,1,0.5
A011,v3_the_threat_of_appearing_prejudiced_and_r,refuted,2012,1,0.5
A012,v3_auditory_change_detection_simple_sounds_,robust,2016,1,0.3
A013,v3_across_notation_automatic_numerical_proc,robust,2015,1,0.5
A014,v3_thar_she_bursts_reducing_confusion_reduc,robust,2014,1,0.0
A015,v3_thar_she_bursts_reducing_confusion_reduc,robust,2013,1,0.0
A016,v3_the_threat_of_appearing_prejudiced_and_r,refuted,2012,1,0.5
A017,v3_thar_she_bursts_reducing_confusion_reduc,robust,2015,1,0.5
A018,v3_thar_she_bursts_reducing_confusion_reduc,robust,2014,0,
A019,v3_moral_credentials_and_the_expression_of_,refuted,2025,0,
A020,v3_happiness_and_time_preference_the_effect,refuted,2018,1,0.5
A021,v3_measuring_the_crowd_within_probabilistic,robust,2018,1,0.5
A022,v3_measures_of_anchoring_in_estimation_task,robust,2015,1,0.5
A023,v3_precision_of_the_anchor_influences_the_a,robust,2026,1,0.5
A024,v3_hedonic_and_instrumental_motives_in_ange,robust,2012,1,0.75
A025,v3_metaphoric_structuring_understanding_tim,refuted,2025,0,
A026,v3_experiments_in_wording_questions_ii,refuted,2019,1,0.5
A027,v3_last_place_aversion_evidence_and_redistr,refuted,2024,1,0.5
A028,v3_moral_credentials_and_the_expression_of_,refuted,2020,1,0.4
A029,v3_measures_of_anchoring_in_estimation_task,robust,2017,1,0.5
A030,v3_experiments_in_wording_questions_ii,refuted,1999,1,0.8
A031,v3_the_potential_of_social_identity_for_equ,refuted,2014,1,0.5
A032,v3_age_related_changes_in_the_episodic_simu,robust,2017,1,0.5
A033,v3_thar_she_bursts_reducing_confusion_reduc,robust,2019,1,0.5
A034,v3_hedonic_and_instrumental_motives_in_ange,robust,2023,1,0.5
A035,v3_coordination_in_the_presence_of_asset_ma,robust,2016,0,
A036,v3_weight_as_an_embodiment_of_importance,refuted,2018,1,0.5
A037,v3_response_scales_effects_of_category_rang,refuted,2003,1,0.9
A038,v3_the_representation_of_simple_ensemble_vi,robust,2015,1,0.5
A039,v3_last_place_aversion_evidence_and_redistr,refuted,2024,1,0.5
A040,v3_last_place_aversion_evidence_and_redistr,refuted,2021,1,0.3
A041,v3_action_dynamics_reveal_parallel_competit,robust,2023,0,
A042,v3_the_economics_of_credence_goods_an_exper,robust,2017,0,
A043,v3_measuring_the_crowd_within_probabilistic,robust,2011,1,0.5
A044,v3_the_threat_of_appearing_prejudiced_and_r,refuted,2009,0,
A045,v3_thar_she_bursts_reducing_confusion_reduc,robust,2016,0,
A046,v3_effects_of_fluency_on_psychological_dist,refuted,2020,1,0.75
A047,v3_precision_of_the_anchor_influences_the_a,robust,2019,0,
A048,v3_happiness_and_time_preference_the_effect,refuted,2019,0,
A049,v3_a_word_order_constraint_on_phonological_,refuted,2014,1,0.5
A050,v3_hedonic_and_instrumental_motives_in_ange,robust,2013,1,0.5
A051,v3_mere_exposure_to_money_increases_endorse,refuted,2020,1,1.0
A052,v3_the_framing_of_decisions_and_the_psychol,robust,2010,1,0.5
A053,v3_deferred_compensation_in_multiperiod_lab,refuted,2020,1,0.5
A054,v3_weight_as_an_embodiment_of_importance,refuted,2016,1,0.5
A055,v3_the_representation_of_simple_ensemble_vi,robust,2010,1,0.8
A056,v3_the_framing_of_decisions_and_the_psychol,robust,2010,1,0.8
A057,v3_hedonic_and_instrumental_motives_in_ange,robust,2021,1,0.5
A058,v3_precision_of_the_anchor_influences_the_a,robust,2010,1,0.5
A059,v3_the_threat_of_appearing_prejudiced_and_r,refuted,2016,1,0.5
