id,sentence,是否在转述结论(1/0),确定性打分(0/0.25/0.5/0.75/1),备注
C0001,"Importantly, not only retrieval from episodic memory, but also repeated generation of items from semantic memory results in reduced accessibility of related non-target items (e.g., Bäuml, 2002; Blaxton & Neely, 1983; Campbell & Phenix, 2009; Johnson & Anderson, 2004; Storm et al., 2008).",,,
C0002,McCrea (2008) particularly suggested that counterfactual thinking may reduce one’s motivation to improve their performance in addition to reducing their actual performance on future tasks.,,,
C0003,"Despite the growth of support materials, learning is also affected by the psychological dispositions, social challenges, and motivational subtexts of students’ learning experiences (Ahmadi 2015; Cole, McHugh, and Netter 2017; Purdie-Vaughns et al. 2008).",,,
C0004,"Whether people are generally more intuitive or analytic thinkers is a contributing factor to their susceptibility to peripheral (i.e., automatic nudging elements) or central (i.e., relective nudging elements) cues of persuasion [7].",,,
C0005,"The classical example was provided by Rugg (1941), who demonstrated that 46% of the participants in a survey supported free speech when asked ‘Do you think the United Stated should forbid public speeches against democracy’, while only 25% of the participants supported free speech when asked ‘Do you…",,,
C0006,"On the other hand, positive feelings such as happiness can induce behaviors that benefit individuals in the long-term (see, e.g., Ifcher & Zarghamee, 2011).",,,
C0007,"The judgments that people make about others serve numerous social functions, including serving to produce feelings of safety and belonging (Purdie-Vaughns et al., 2008).",,,
C0008,"…1996; Tedeschi et al., 1998), and on findings which show that people are motivated to maintain positive affective states and thus, may derive positivity from the mere possibility of psychological growth from negative events (Levine et al., 2012; Ross & Wilson, 2002; Sedikides & Green, 2009).",,,
C0009,"Understanding factors in an offender’s life contributing to the transgression increased forgiveness as did reminders of times in participants’ lives in which they needed to be forgiven (Exline et al., 2008).",,,
C0010,Kirchler et al. (2012) have recently shown that the declining fundamental value coupled with an increasing cash-to-asset-value ratio are important drivers of the mispricing and overvaluation.,,,
C0011,"Finally, at least one paper on the endowment effect (Ericson and Fuster, 2011) provides evidence of Köszegi-Rabin reference points, in that the extent of endowment effect is affected by the expected trading probability (as predicted by the model).",,,
C0012,"…contact has been consistently effective at reducing ingroup favoritism (Turner et al., 2007), reducing intergroup anxiety (Abrams et al., 2008; Husnu & Crisp, 2010a; Turner et al., 2007, Experiments 2 & 3), improving outgroup evaluations (Husnu & Crisp, 2010a; Turner et al., 2007; Experiments…",,,
C0013,"…semantic similarity effect is a consequence of distracter inhibition, inhibitory activity spreading from to-be-ignored to semantically-related to-be-recalled items (Marsh et al., 2008; Marsh et al., 2012; see also Marsh, Sörqvist, Beaman, & Jones, 2013, for a related idea within a separate domain).",,,
C0014,", attitudes for which there is high ego-involvement) are particularly strong and difficult to change.(34) Research suggests that negative attitudes toward vaccines may be connected to such core values and lifestyles – for instance, some work has found anti-vaccine attitudes to be connected to aspects of motherhood,(35) linked to ‘alternative living’ lifestyles (e.",,,
C0015,Rule and Ambady (2008) had students rate photos of 50 male Fortune 1000 CEOs and found that perceived dominance and perceived effectiveness were related to corporate profits.,,,
C0016,", 2002), morally wrong transgressions evoke outrage at the offender’s ability to act in such a way, reducing the victim’s ability to separate the offender from their actions (Baumeister, 1996; Exline et al., 2008; Exline et al., 2003).",,,
C0017,"Research has demonstrated the efficacy of self-handicapping in preserving self-esteem and perceived competence when confronting failure, particularly among individuals with heightened failure anxiety (McCrea, 2008).",,,
C0018,"There is evidence that there is some variance in how societies recognize and label emotions (Barrett et al., 2019; Crivelli, Jarillo, Russell, & Fernández-Dols, 2016; Crivelli, Russell, Jarillo, & Fernández-Dols, 2016, 2017; Tracy & Robins, 2008).",,,
C0019,"For example, name priming might foster activity that is consistent with habitual goals, motives, and traits, such as achievement motivation (Capa, Audiffren, & Ragot, 2008) or preferences for action over inaction (Albarracín et al., 2008), both of which are probably above average in a sample of American college students.",,,
C0020,"…researchers have found that spatial experience may prime temporal reasoning that is consistent with the experienced spatial situation (e.g., Boroditsky, 2000; Boroditsky & Ramscar, 2002; Gentner, Imai, & Boroditsky, 2002; Matlock, Holmes, Srinivasan, & Ramscar, 2011; Sullivan & Barth,…",,,
C0021,"Sirri and Tufano (1998), Choi, Laibson, Madrian, and Metrick (2009) and Asparouhova, Bossaerts, Copic, Cornell, Cvitanic, and Meloso (2015) show that past fund performance is an important determinant of mutual fund investors’ choices.",,,
