task_id,src_id,band,item_type,gold_cert,model_s,sentence
R001,C4104,hedged,ordinary,,0.0,"As mentioned, Experiment 2 suggests the ensemble size calculus may be predicted by the individual item representations, consistent with prior work in other ensemble domains (Alvarez & Oliva, 2008; Haberman, Brady, & Alvarez, 2015)."
R002,C0689,definitive,ordinary,,0.8,Participants that hold a resume with a heavy clipboard judge the applicant to be a more important person (IMPORTANCE IS HEAVY; Jostmann et al. 2009).
R003,C4861,hedged,ordinary,,0.0,The source of this difficulty might be that human metaphorical thinking about time often occurs in terms of space (Lakoff and Johnson 1999; Boroditsky 2000).
R004,C1146,hedged,ordinary,,0.0,"Individuals may rely on intuition and gut feelings to make important decisions, or they may resort to heuristics to reduce the mental workload associated with complex reasoning tasks (Dhami, 2003; Tversky & Kahneman, 1973, 1974)."
R005,C1115,hedged,ordinary,,0.0,"The response modulation account may also explain PCEs in tasks wherein a distractor appears before a target (e.g., Schmidt, 2017)."
R006,C1902,hedged,gold_hedged,0.0,0.0,"Indeed, Jostmann et al. (2009) even argued that this effect might have its origin in the invariant nature of gravity."
R007,C5266,definitive,ordinary,,0.8,"This analysis is of interest because temporal grouping exerts an important effect on the pattern of recall timing, which is well accommodated by a two-dimensional representation of positional information (Lewandowsky & Farrell, 2008)."
R008,C1860,hedged,gold_hedged,0.0,0.0,"Such effects might not be observed because older adults generally tend to generate fewer episodic details of imagined future events compared to young adults (Addis et al., 2008; Schacter et al., 2013)."
R009,C2400,neutral,ordinary,,0.5,"Nonetheless, the aging results are interesting in light of other research demonstrating that older adults generate fewer specific details (or more high-level construals) during both retrospection and prospection (48, 49)."
R010,C2435,definitive,gold_definitive,1.0,1.0,Increasing the proportion of stimulus–response incongruent trials decreases the interference effect (Schmidt and Besner 2008).
R011,C0028,hedged,ordinary,,0.0,"Middle-aged adults ’ ratings may reflect higher detail like older adults ’ (De Brigard et al., 2016, 2017) or they may show lower detail as the constructive simulation hypothesis claims for event description content (Addis et al., 2008)."
R012,C0454,hedged,ordinary,,0.0,"Elected representatives may also enjoy high social status (e.g., Fehr et al. 2013; Jack and Recalde 2015)."
R013,C5425,neutral,ordinary,,0.5,"Experiment 1 demonstrated semantic alignment effects in number comparison, but it is not clear that these effects are directly analogous to the alignment effects observed by Bassok et al. (2008) ."
R014,C0646,neutral,ordinary,,0.5,"Among the causes cited for happiness in the literature is what individuals are in possession of, besides what they are asking for, in order to be happy (Larsen & McKibban, 2008)."
R015,C1371,neutral,ordinary,,0.5,"This indicates that unlike in Colzato et al. (2008), bilinguals did not have an increased attentional blink when compared to monolinguals, which in turn appears to indicate that bilinguals do not have an advantage in reactive inhibition."
R016,C4713,neutral,ordinary,,0.5,"The relationships between the traits in our final sample are, therefore, in line with the findings of an analogous study mentioned above (De Fruyt et al., 2000)."
R017,C2771,hedged,ordinary,,0.0,"In particular, participants may assume that the presented anchor provides implicit information regarding the judgment (Grice, 1975; Jacowitz & Kahneman, 1995; Schwarz, 1994); a feature not available in prior accounts."
R018,C5391,hedged,ordinary,,0.0,"It may help to close your eyes while imagining the conversation” (the text in italics was added to elicit elaboration, Husnu & Crisp, 2010)."
R019,C5745,neutral,ordinary,,0.5,"Response biases have been shown to a ଏ ect measures of personality (see e.g. Ellingson et al., 1999; Holden, 2007; Soto et al., 2008; Viswesvaran & Ones, 1999)."
R020,C3727,definitive,ordinary,,0.8,"It is clear that specific circumstances can instigate global processing (Förster et al. 2008), similarity testing (Mussweiler and Damisch 2008), or interpretation mind-set (Stapel and Koomen 2001) to create assimilation."
R021,C5254,neutral,ordinary,,0.5,"As we have shown, our results are consistent with the provi- sions of the theory proposed by Mitchell, Nash, and Hall (2008) by showing differential memory for unique and common features of the stimuli."
R022,C5764,definitive,gold_definitive,1.0,1.0,"Extensive research has found that negative emotions cause individuals to be more short-sighted and prefer immediate gains [12,13]."
