"annotation_id","annotator","assert","certainty","created_at","id","lead_time","note","sentence","task_id","updated_at"
142,"1","0","","2026-07-15T07:12:45.819903Z",10141,1009.814,"","These results suggest that our automated scoring procedure should not be used, or used with caution, on tasks that are not optimized for scoring with the interview (Levine et al., 2002) or the adapted interview (e.g., Addis et al., 2008).","T0001","2026-07-15T07:12:45.819943Z"
143,"1","1","0.25","2026-07-15T07:13:51.714468Z",10142,63.325,"","Borrowing phases in Brun-Aguerre, Fuertes, and Phylaktis (2012), the positive output gap-ERPT asymmetry relation denotes that exporters may act to enhance market share in fast growing economies.","T0002","2026-07-15T07:13:51.714530Z"
144,"1","1","1","2026-07-15T07:14:43.414035Z",10143,72.67099999999999,"","In this context, the unadjusted score is biased (Pleskac, 2008; Dijkstra et al., 2022) and the inter-subject variability is reduced (Lejuez et al., 2002).","T0003","2026-07-15T08:43:25.800273Z"
145,"1","0","","2026-07-15T07:15:22.348130Z",10144,35.822,"","Husnu and Crisp (2010a) provided an initial test of the hypothesis that imagined contact can enhance intentions to engage in future contact.","T0004","2026-07-15T07:15:22.348183Z"
146,"1","1","1","2026-07-15T07:16:00.516112Z",10145,42.173,"","It is understood that in multiple contexts individuals often fail to adjust sufficiently away from an original figure (Jacowitz and Kahneman, 1995).","T0005","2026-07-15T08:43:38.626977Z"
147,"1","1","0.75","2026-07-15T07:16:51.196735Z",10146,53.709,"","For example, Fischer et al. (2008) show that individuals with depleted self-regulatory resources engage in more confirmatory information processing, or preferencing information supporting pre-existing views, than non-depleted individuals.","T0006","2026-07-15T08:43:46.893135Z"
148,"1","1","1","2026-07-15T07:18:46.664683Z",10147,121.83500000000001,"","Concerns about being seen as prejudiced contribute directly to the anxiety that Whites experience not only during interracial interaction (Goff et al., 2008; Richeson & Shelton, 2003) but also in anticipation of interracial contact (West & Dovidio, 2013).","T0007","2026-07-15T08:45:00.718433Z"
149,"1","1","1","2026-07-15T07:19:37.452916Z",10148,54.157000000000004,"","Statistical learning occurs also irrespective of the perceptual modality; indeed, it has been reported in the visual (Turk-browne et al., 2005, 2008), auditory (Saffran et al., 1999) and tactile domains (Conway and Christiansen, 2005).","T0008","2026-07-15T08:44:08.270166Z"
150,"1","1","1","2026-07-15T07:20:42.476111Z",10149,69.039,"","It is well known from Gibbard (1973) and Satterthwaite (1975) that there does not exist a strategy-proof voting mechanism (except for a dictatorial mechanism or a mechanism in which a particular candidate is never chosen under any circumstances).","T0009","2026-07-15T08:45:14.884427Z"
151,"1","0","","2026-07-15T07:23:12.454835Z",10150,146.379,"","Furthermore, and as noted in the introduction, the money priming effect observed in Experiment 1 in Caruso et al. (2013) T hi s do cu m en t is co py ri gh te d by th e A m er ic an Ps yc ho lo gi ca l A ss oc ia tio n or on e of its al lie d pu bl is he rs .","T0010","2026-07-15T07:23:12.454893Z"
152,"1","1","1","2026-07-15T07:26:06.372536Z",10151,531.546,"","However, in an important nonconfirmation, Farris et al. (2008) found that men were more likely than women not only to misperceive friendliness as sexual interest but also to misperceive sexual interest as friendliness.","T0011","2026-07-15T07:32:31.112372Z"
153,"1","1","0.5","2026-07-15T07:37:07.398397Z",10152,276.674,"","Establishing goodwill toward a transgressor is likely to involve empathic processing, which has been established as a significant predictor of forgiveness in general (Exline et al., 2008; Exline & Zell, 2009; Karremans, Van Lange, & Holland, 2005; McCullough et al., 1998; McCullough et al., 1997).","T0012","2026-07-15T08:45:31.172395Z"
154,"1","1","0.25","2026-07-15T09:49:20.687375Z",10153,519.438,"","For example, in our daily life, we may feel that polite words increase the sense of distance (Levinson and Brown 1987; Stephan et al. 2010), and visual and linguistic fluency decrease the psychological distance (Alter and Oppenheimer 2008; Roose et al. 2019).","T0013","2026-07-15T09:49:20.687422Z"
155,"1","1","0.25","2026-07-15T09:50:09.208672Z",10154,45.739,"","Sometimes, these superficial judgments can be quite accurate and predictive of important real-world outcomes [e.g., Rule and Ambady, 2008].","T0014","2026-07-15T09:50:09.208730Z"
156,"1","1","0","2026-07-15T09:51:03.145697Z",10155,51.153,"","4Goeree and Holt (2001) and Chen and Chen (2011) provide evidence that even when played in pairs subjects may be unable to reach efficient outcomes provided the costs of higher effort are large enough or the game is repeated with different partners.","T0015","2026-07-15T09:51:03.145748Z"
157,"1","1","0","2026-07-15T09:52:07.890377Z",10156,61.432,"","In a similar vein, Schmidt and Besner (2008) suggested that because PC is confounded with contingency, a stimulus-response contingency-learning process may account for the ISPC effect.","T0016","2026-07-15T09:52:07.890430Z"
158,"1","0","","2026-07-15T09:52:48.685661Z",10157,38.171,"","The Needs-Based Model of Reconciliation argues that conflict leaves groups’ identities impaired.","T0017","2026-07-15T09:52:48.685713Z"
159,"1","0","","2026-07-15T09:53:57.965180Z",10158,45.569,"","As noted above, natural sampling is often considered a remedy for biases introduced by selective sampling because it enables learners to “conserve the properties of the universe” (Fiedler, 2008), such that the distribution of the sample will mirror the distribution of the source in an unbiased fashion.","T0018","2026-07-15T09:53:57.965231Z"
160,"1","1","1","2026-07-15T09:54:38.703249Z",10159,38.059,"","After an initial act of self-control, a reduction in such brain potentials mediated the decline in performance on a subsequent task (Inzlicht & Gutsell, 2007).","T0019","2026-07-15T09:54:38.703301Z"
161,"1","1","0.25","2026-07-15T09:55:32.103519Z",10160,50.046,"","However, as the results presented by Dulleck et al. (2011) suggest, this theoretical possibility is irrelevant in an experiment.","T0020","2026-07-15T09:55:32.103570Z"
162,"1","1","1","2026-07-15T09:56:24.424612Z",10161,47.545,"","This is comparable to Kessler and Roth (2012) where 36 percent register as a donor in the baseline treatment and 74 percent in the priority treatment.","T0021","2026-07-15T09:56:24.424666Z"
163,"1","1","0.75","2026-07-15T09:57:16.347081Z",10162,49.049,"","Nosek et al. (2002) showed that both explicit and implicit attitudes predict performance.","T0022","2026-07-15T09:57:16.347134Z"
164,"1","1","1","2026-07-15T09:58:08.538385Z",10163,49.611,"","Recognition rates for the basic emotions were generally lower than have been previously found in the United States and higher than recognition rates found in Burkina Faso [24][22].","T0023","2026-07-15T09:58:08.538433Z"
