id,sentence,是否在转述结论(1/0),确定性打分(0/0.25/0.5/0.75/1),"备注(可空,拿不准时写?并简述)"
A105,"…impact of observed good and bad past behavior, because investigate 3Only recently there emerged a literature where limited feedback plays a role in public goods experiments (Grechenig et al., 2010; Ambrus and Greiner, 2012; Irlenbusch and Ter Meer, 2013; Bayer et al., 2013; Hartig et al., 2013).",,,
A162,"Research indicates that episodic memory declines with age, and similar de ﬁ cits have also been observed for episodic simulation (Addis et al., 2008).",,,
A011,"For example, in dot-probe tasks, White participants can be observed to preferentially attend to Black faces during initial face presentation (e.g., Richeson & Trawalter, 2008), an effect interpreted as evidence that Black faces are often viewed as potentially threatening by White perceivers and…",,,
A137,"Earlier work on inner crowds suggests that people typically anchor too heavily on first estimates when generating a second guess, thereby not producing diverse enough estimates and errors (Herzog & Hertwig, 2009; Vul & Pashler, 2008).",,,
A315,"Explanations include that people who have high materialistic values believe that acquiring products comes with pleasure and signals success to others (Richins, 2011), but also makes them want things they do not already have which finally undermines well-being (Larsen & McKibban, 2008).",,,
A308,"Similarly, Janiszewski and Uy (2008) use transactions data from Florida and find that more precise list prices lead to a higher sale price to list price ratio (i.e., a lower negotiated discount).",,,
A182,"Consonant with the predictions of Experiment 1, on the interference-by-process account (Marsh et al., 2008, 2009), meaningful, but not meaningless, speech should impair semantic fluency.",,,
A093,"…albeit smaller benefit can be accrued by averaging two guesses from the same individual, an effect dubbed the “wisdom of the inner crowd” (Ariely et al. 2000; Winkler and Clemen 2004; Vul and Pashler 2008; Herzog and Hertwig 2009, 2014a, b; Steegen et al. 2014; van Dolder and van den Assem 2018).",,,
A285,"…& Damian, 2008; Poltrock & Schwartz, 1984; Thomas & Morwitz, 2005); hence, consumers pay less attention to those right-most digits.6 Relatedly, Janiszewski and Uy (2008) find that more precise anchoring values lead to lower adjusted judgement values made by participants compared to their…",,,
A159,"According to availability heuristic (Tversky & Kahneman, 1982), people use easily accessible associations that could be brought readily to mind, as cues to form judgments and make decisions.",,,
A116,"Physicians are commonly assumed to be better informed than their patients (e.g., Dulleck and Kerschbamer, 2006; Dulleck et al., 2011), allowing for moral hazard (e.",,,
A073,"Recent studies on decision-making [33] also have interpreted the results of famous experiments such as the Asian Disease Problem [34] and the framing effect [35], suggesting that the left hemisphere is more inclined to separate context from relevant information to achieve an effective choice, while…",,,
